,text,review_cleaned_lemmatized,rating
26892,Awesome and expandable to so many different uses. Make sure to get the accessories to really take advantage of the unit.,awesome expandable many different us make sure get accessory really take advantage unit,5.0
28613,Replaces the original with no problems whatsoever.,replaces original problem whatsoever,5.0
16685,Has everything you will ever need inside. For children and adultsA+++,everything ever need inside child adultsa,5.0
33788,"Love these, great cable cutter. A little glitchy on the remote but really good product",love great cable cutter little glitchy remote really good product,5.0
10502,This is a great product and a really good by for the price. Great buy at best buy.,great product really good price great buy best buy,5.0
9652,This was a birthday gift for my grandson. He loves it.,birthday gift grandson love,5.0
26008,"Really neat little device! We were an Apple only ecosystem family but Alexa is fitting in just fine. We used it for listening to music and getting the weather mostly but have since discovered the skills that can be enable through the Alexa app. We already had a harmony hub and with a little setup after enabling the harmony skill we can now control our home entertainment devices with our voice such as ""Alexa, turn on Apple TV"".",really neat little device apple ecosystem family alexa fitting fine use listen music get weather mostly since discover skill enable alexa app already harmony hub little setup enable harmony skill control home entertainment device voice alexa turn apple tv,5.0
17909,"I had the old Version of the Kindle and loved it. But now that I have the Paperwhite, i realize what a good decision it was to trade up. The contrast is like reading a real book and it doesn't hurt your eyes to read it for a long time.",old version kindle love paperwhite realize good decision trade contrast like reading real book doesnt hurt eye read long time,5.0
33944,"I have always wanted to get the best products for the money for my audio video experience. The Amazon Fire for 4K has not disappointed. It was exceptionally easy to set up and attach to the internet and my TV. The updates for the Fire are seemless and fast. The visual quality is what was expected. If you already own the Fire would I recommend the upgrade? Do not know, but wish there was some sort of buyback program and then the choice would be easier. I do like the gaming ability of the system but have yet to explore those options extensively.",always want get best product money audio video experience amazon fire 4k disappointed exceptionally easy set attach internet tv update fire seemless fast visual quality expect already fire would recommend upgrade know wish sort buyback program choice would easy like game ability system yet explore option extensively,5.0
1732,I already own one but bought another for my sister in law for Christmas.,already one bought another sister law christmas,5.0
16599,My grandson used my old I Phone to play on. Got him this tablet and he loves it! Great deal!,grandson use old phone play get tablet love great deal,5.0
14589,Capable to run games just as spected and very handly,capable run game spected handly,5.0
1861,"Most of the Kindles I have purchased have been gifts, but this one was for me. It is just what I expected from the reviews. Great tablet for the money.",kindles purchase gift one expect review great tablet money,5.0
12804,Enjoyed a lot. Great tablet for the price: well worth the money spent! A bargain!,enjoy lot great tablet price well worth money spent bargain,5.0
16933,"Great for my one year old baby,he loves to play games and watch movies..",great one year old babyhe love play game watch movie,5.0
15339,a gift. He LOVES it. was a reasonable price. thks.,gift love reasonable price thks,5.0
30090,The fire tv box simply does it all. Very fast and fun to use,fire tv box simply fast fun use,5.0
11310,I was searching on Amazon for the Kindle 7 but it was out of stock until AFTER Christmas. Went to Best Buy and found they had more than enough in stock. Got one for my daughter who loves it. Thanks!,search amazon kindle 7 stock christmas go best buy found enough stock get one daughter love thanks,5.0
4640,"great price, great screen and resolution, easy to use and good performance for less than $50.",great price great screen resolution easy use good performance less 50,5.0
